"","market_cap_intra_day_5","enterprise_value_3","trailing_p_e","forward_p_e_1","peg_ratio_5_yr_expected_1","price_sales_ttm","price_book_mrq","enterprise_value_revenue_3","enterprise_value_ebitda_6","beta_5y_monthly","x52_week_change_3","s_p500_52_week_change_3","x52_week_high_3","x52_week_low_3","x50_day_moving_average_3","x200_day_moving_average_3","avg_vol_3_month_3","avg_vol_10_day_3","shares_outstanding_5","float","percent_held_by_insiders_1","percent_held_by_institutions_1","shares_short_4","short_ratio_4","short_percent_of_float_4","short_percent_of_shares_outstanding_4","shares_short_prior_month_4","forward_annual_dividend_rate_4","forward_annual_dividend_yield_4","trailing_annual_dividend_rate_3","trailing_annual_dividend_yield_3","x5_year_average_dividend_yield_4","payout_ratio_4","dividend_date_3","ex_dividend_date_4","last_split_factor_2","last_split_date_3","profit_margin","operating_margin_ttm","return_on_assets_ttm","return_on_equity_ttm","revenue_ttm","revenue_per_share_ttm","quarterly_revenue_growth_yoy","gross_profit_ttm","ebitda","net_income_avi_to_common_ttm","diluted_eps_ttm","quarterly_earnings_growth_yoy","total_cash_mrq","total_cash_per_share_mrq","total_debt_mrq","total_debt_equity_mrq","current_ratio_mrq","book_value_per_share_mrq","operating_cash_flow_ttm","levered_free_cash_flow_ttm","Code"
"151","15.51M","5.25M","8.60","N/A","N/A","49.74","0.93","16.85","-2.94","0.07","86.36%","16.75%","0.0550","0.0180","0.0439","0.0451","1.75M","920.33k","360.69M","220.55M","43.92%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00","12.20%","N/A","520.00%","N/A","22 Nov 2019","1:1","18 May 2009","551.41%","-701.67%","-7.12%","9.24%","311.81k","0.00","4.70%","311.81k","-1.79M","1.72M","0.0050","N/A","10.09M","0.03","222.34k","1.41","29.05","0.05","-1.71M","15.1M","CAZ.AX"
"152","17.55M","15.9M","N/A","N/A","N/A","519.74","15.00","470.73","N/A","0.71","-35.00%","16.75%","0.1400","0.0700","0.0897","0.0932","41.66k","15.82k","195.05M","110.3M","78.45%","20.33%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:100","30 May 2018","0.00%","-5,360.91%","-90.24%","-291.73%","33.77k","0.00","272.60%","N/A","N/A","-1.81M","-0.0090","N/A","1.56M","0.01","N/A","N/A","2.79","0.01","-1.3M","-639.09k","CNL.AX"
"153","37.45M","31.32M","N/A","N/A","N/A","586.04","1.92","490.15","-57.94","-0.37","300.00%","16.75%","0.0740","0.0060","0.0515","0.0358","3.61M","1.49M","780.22M","524.7M","20.98%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:2000","01 Feb 2016","0.00%","-1,139.82%","-2.14%","-3.19%","63.9k","0.00","-70.20%","N/A","-540.57k","-661.83k","-0.0010","N/A","5.67M","0.01","N/A","N/A","29.58","0.03","-975.68k","-143.98k","CLA.AX"
"154","288.32M","225.24M","N/A","N/A","N/A","622.24","35.20","486.10","-32.59","1.33","6,361.54%","16.75%","0.9550","0.0050","0.8464","0.6242","882.63k","852.71k","327.64M","182.5M","31.08%","9.39%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:12","03 Apr 2020","0.00%","-1,497.08%","-44.00%","-148.80%","463.36k","0.00","537.50%","96.95k","-6.91M","-8.21M","-0.0360","N/A","5M","0.02","72.47k","1.12","1.11","0.03","-6.67M","-528.07k","CTM.AX"
"155","9.9M","6.71M","N/A","N/A","N/A","167.75","0.68","113.72","-4.63","1.02","-39.53%","16.75%","0.0510","0.0200","0.0275","0.0278","301.09k","81.06k","366.57M","125M","60.55%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","29 Jan 2014","1:1","21 Dec 2007","0.00%","-33,776.27%","-53.47%","-87.88%","59k","0.00","37.20%","N/A","-1.45M","-19.82M","-0.0630","N/A","1.81M","0.01","N/A","N/A","13.34","0.04","-2.26M","3.88M","CXM.AX"
"156","1.6B","1.39B","N/A","N/A","N/A","3,536.87","26.65","3,062.16","-118.72","-0.88","1,493.22%","16.75%","4.9200","0.1450","4.3244","3.0319","2.29M","1.52M","341.82M","261.44M","17.51%","13.32%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,598.90%","-18.80%","-30.30%","453.27k","0.00","41.30%","453.27k","-11.69M","-11.4M","-0.0100","N/A","54.27M","0.18","58.85k","0.11","27.45","0.18","-10.22M","-4.24M","CHN.AX"
"157","248.18M","242.71M","N/A","N/A","N/A","712.62","14.07","696.94","-131.29","1.74","127.27%","16.75%","0.3950","0.0700","0.2839","0.2314","1.34M","1.25M","653.09M","453.47M","30.73%","3.68%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","01 May 2019","0.00%","-532.22%","-9.50%","-15.80%","348.26k","0.00","-42.00%","N/A","-1.85M","-1.74M","-0.0040","N/A","3.8M","0.01","N/A","N/A","3.35","0.03","-997k","-5.85M","CEL.AX"
"158","2.57B","2.57B","N/A","N/A","N/A","N/A","26.97","N/A","N/A","1.78","138.84%","16.75%","5.84","1.36","5.22","4.00","1.16M","866.43k","489.27M","308.5M","24.62%","24.67%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","12 Sep 2012","30.81%","0.00%","34.70%","63.65%","N/A","N/A","92.60%","378.12M","N/A","N/A","-0.01","300.10%","N/A","N/A","N/A","35.73","3.17","0.19","N/A","N/A","CIA.AX"
"159","6.6M","3.35M","N/A","N/A","N/A","N/A","0.67","N/A","-2.81","1.36","12.50%","16.75%","0.0470","0.0060","0.0186","0.0224","2.2M","2.14M","366.51M","231.22M","38.62%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-8.99%","-14.75%","N/A","N/A","N/A","N/A","-1.19M","-1.22M","-0.0060","N/A","2.39M","0.01","N/A","N/A","5.02","0.03","-630k","-1.13M","CML.AX"
"160","63.83M","77.97M","N/A","N/A","N/A","4,763.05","8.48","5,818.15","-80.41","1.19","85.00%","16.75%","0.3250","0.0410","0.2136","0.2206","1.03M","423.16k","449.57M","322.17M","21.51%","6.05%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-7,765.98%","-9.50%","-17.66%","13.4k","0.00","N/A","13.4k","-969.68k","-1.14M","-0.0040","N/A","1.28M","0","N/A","N/A","2.75","0.02","-948.2k","-3.03M","CHZ.AX"
"161","260.41k","259k","N/A","N/A","N/A","0.78","0.20","0.78","-0.66","1.44","-80.00%","16.75%","0.0100","0.0020","0.0020","0.0020","N/A","N/A","130.21M","16.34M","96.96%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","-128.80%","-135.40%","-14.19%","-29.26%","333.16k","0.00","-99.10%","-31.84k","-393.05k","-429.11k","-0.0030","N/A","1.41k","0","N/A","N/A","0.55","0.01","-111.56k","-24.17k","CDH.AX"
"162","106.33M","73.63M","∞","N/A","N/A","0.85","0.56","0.59","5.51","0.95","-22.61%","16.75%","1.2000","0.7500","0.9979","0.9296","3.13k","2.15k","115.58M","52.96M","70.18%","0.46%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.01","1.69%","N/A","5,000.00%","N/A","30 Sep 2019","1:1","13 Feb 1997","0.03%","3.15%","0.98%","0.02%","125.52M","1.09","-2.20%","17.38M","13.36M","32k","0.0000","N/A","52.39M","0.45","19.68M","10.35","4.83","1.65","9.2M","1.83M","CII.AX"
"163","35.37M","35.33M","∞","N/A","N/A","N/A","0.35","N/A","-45.85","0.38","140.00%","16.75%","0.0300","0.0020","0.0136","0.0133","3.54M","5.48M","2.72B","1.49B","40.06%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-0.51%","0.09%","N/A","N/A","N/A","N/A","-770.57k","94.05k","0.0000","N/A","340.11k","0","289.27k","0.28","0.26","0.04","-1.15M","-532.23k","CTO.AX"
