"","market_cap_intra_day_5","enterprise_value_3","trailing_p_e","forward_p_e_1","peg_ratio_5_yr_expected_1","price_sales_ttm","price_book_mrq","enterprise_value_revenue_3","enterprise_value_ebitda_6","beta_5y_monthly","x52_week_change_3","s_p500_52_week_change_3","x52_week_high_3","x52_week_low_3","x50_day_moving_average_3","x200_day_moving_average_3","avg_vol_3_month_3","avg_vol_10_day_3","shares_outstanding_5","float","percent_held_by_insiders_1","percent_held_by_institutions_1","shares_short_4","short_ratio_4","short_percent_of_float_4","short_percent_of_shares_outstanding_4","shares_short_prior_month_4","forward_annual_dividend_rate_4","forward_annual_dividend_yield_4","trailing_annual_dividend_rate_3","trailing_annual_dividend_yield_3","x5_year_average_dividend_yield_4","payout_ratio_4","dividend_date_3","ex_dividend_date_4","last_split_factor_2","last_split_date_3","profit_margin","operating_margin_ttm","return_on_assets_ttm","return_on_equity_ttm","revenue_ttm","revenue_per_share_ttm","quarterly_revenue_growth_yoy","gross_profit_ttm","ebitda","net_income_avi_to_common_ttm","diluted_eps_ttm","quarterly_earnings_growth_yoy","total_cash_mrq","total_cash_per_share_mrq","total_debt_mrq","total_debt_equity_mrq","current_ratio_mrq","book_value_per_share_mrq","operating_cash_flow_ttm","levered_free_cash_flow_ttm","Code"
"1","18.1M","17.67M","N/A","N/A","N/A","20,407.95","5.00","19,922.10","-31.91","1.48","150.00%","16.75%","0.0100","0.0010","0.0046","0.0054","17.77M","10.68M","3.62B","2.3B","35.93%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-66,220.97%","-17.66%","-37.83%","887","0.00","97.00%","887","-553.78k","-601.47k","-0.0000","N/A","405.96k","0","N/A","N/A","2.35","0.00","-362.95k","-1.15M","DDD.AX"
"2","7.84M","6.98M","N/A","N/A","N/A","117.35","1.19","104.42","-8.00","0.63","85.19%","16.75%","0.1400","0.0137","0.0569","0.0680","384.3k","607.66k","156.85M","79.57M","42.31%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,163.40%","-23.15%","-39.94%","66.83k","0.00","45.20%","66.83k","-871.99k","-1.51M","-0.0270","N/A","183.99k","0","N/A","N/A","1.14","0.04","-673.32k","-271.31k","AX8.AX"
"3","51.26M","26.78M","N/A","N/A","N/A","922.63","N/A","482.00","-30.59","1.50","1,600.00%","16.75%","0.1100","0.0050","0.0253","0.0153","7.75k","35.62k","466.03M","2.68M","98.52%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-1,988.82%","-16.57%","N/A","55.56k","0.00","335.40%","N/A","-875.33k","-2.02M","-0.0110","N/A","1.09M","0.01","7.96M","N/A","1.43","-0.02","-736.88k","-1.07M","ACS.AX"
"4","30.11M","32.68M","N/A","N/A","N/A","557,640.88","4.59","605,234.50","-53.40","0.43","-5.56%","16.75%","0.1800","0.0790","0.1512","0.1353","3.96k","2.27k","177.13M","12.81M","92.32%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","28 Nov 2016","0.00%","-2,914,039.06%","-10.27%","-20.83%","54","0.00","N/A","54","-612k","-1.52M","-0.0090","N/A","209.26k","0","2.77M","42.26","2.75","0.04","-310.25k","-460.38k","AIV.AX"
"5","1.95B","2.43B","20.69","N/A","N/A","1.33","1.62","1.66","11.11","1.25","-6.29%","16.75%","3.6000","1.7400","3.1266","2.9578","1.08M","726.56k","653.33M","367.01M","43.25%","14.60%","N/A","N/A","N/A","N/A","N/A","0.1","3.19%","0.10","3.29%","3.67","34.97%","N/A","21 Sep 2020","1:1","06 Mar 2008","6.45%","9.26%","3.68%","8.10%","1.46B","2.27","-7.30%","226M","219.1M","94.3M","0.1440","N/A","481.7M","0.75","985.6M","82.52","4.27","1.84","264.7M","96.28M","ABC.AX"
"6","16.23M","26.9M","N/A","N/A","N/A","16.67","1.40","27.62","-35.42","0.11","240.00%","16.75%","0.0750","0.0040","0.0137","0.0122","675.9k","761.59k","1.16B","659.43M","40.13%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","02 Dec 2010","-158.75%","-79.03%","-2.12%","-12.55%","973.76k","0.00","-66.20%","N/A","-759.49k","-1.55M","-0.0010","N/A","102.9k","0","10.77M","93.33","0.15","0.01","-651.4k","-2.29M","ADY.AX"
"7","501.19M","424.42M","N/A","N/A","N/A","N/A","36.25","N/A","N/A","1.04","39.94%","16.75%","2.8600","0.7800","2.2515","2.2546","231.18k","166.13k","385.53M","102.14M","47.88%","11.85%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-26.16%","-40.06%","N/A","N/A","N/A","N/A","N/A","N/A","-0.0300","N/A","N/A","N/A","N/A","1.27","16.79","0.06","N/A","N/A","ADT.AX"
"8","223.16M","222.96M","103.33","N/A","N/A","18.12","7.83","18.10","56.06","1.18","-47.53%","16.75%","6.6600","2.9200","4.1045","3.8891","26.5k","30.67k","59.99M","18.78M","70.73%","0.01%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","05 Oct 2017","17.75%","27.58%","7.01%","8.77%","12.32M","0.21","-61.90%","12.42M","3.98M","2.19M","0.0360","-93.30%","400k","0.01","3.1M","11.00","7.09","0.47","1.13M","-2.88M","ANO.AX"
"9","71.14M","87.69M","N/A","N/A","N/A","N/A","1.13","N/A","-39.70","1.72","-7.69%","16.75%","0.2250","0.0540","0.1270","0.1327","507.84k","418.52k","677.57M","194.02M","25.23%","47.81%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-4.09%","-8.24%","N/A","N/A","N/A","N/A","-2.21M","-5.38M","-0.0080","N/A","2.48M","0","19.04M","30.21","2.65","0.09","-1.87M","-7.84M","AML.AX"
"10","170.73M","167.92M","N/A","N/A","N/A","0.75","1.88","0.74","5.66","1.75","55.00%","16.75%","0.1300","0.0280","0.0999","0.0743","7.82M","3.5M","1.9B","1.05B","34.09%","21.14%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","17 Dec 2015","-16.87%","-9.94%","-7.60%","-50.95%","227.31M","0.44","0.40%","10.01M","29.65M","-38.35M","-0.0740","N/A","56.83M","0.03","56.16M","76.26","1.75","0.05","30.24M","21.19M","AIS.AX"
"11","15.76M","11M","N/A","N/A","N/A","N/A","2.33","N/A","-12.79","2.53","51.72%","16.75%","0.2800","0.0380","0.2350","0.1830","249.81k","152.93k","78.78M","45.35M","78.63%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-9.74%","-17.16%","N/A","N/A","N/A","N/A","-860.1k","-889.46k","-0.0160","N/A","620.37k","0.01","N/A","N/A","1.74","0.09","-759.55k","-1.78M","A1G.AX"
"12","117.15M","107.84M","N/A","N/A","N/A","503.07","2.97","463.08","-54.73","0.49","24.42%","16.75%","0.6800","0.1650","0.4717","0.5330","71.65k","109.28k","211.09M","146.64M","22.05%","19.32%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:20","28 May 2012","0.00%","-847.12%","-3.15%","-6.00%","232.88k","0.00","919.70%","159.42k","-1.97M","-2.16M","-0.0110","N/A","7.72M","0.04","227.58k","0.59","4.71","0.19","-1.75M","-9.01M","AMN.AX"
"13","28.06M","24.51M","N/A","N/A","N/A","441.68","0.80","385.82","-8.81","1.34","-13.64%","16.75%","0.1200","0.0350","0.0877","0.0620","306.82k","404.58k","280.6M","219.11M","32.88%","1.54%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","07 Apr 2017","0.00%","-4,390.56%","-4.79%","-7.74%","63.53k","0.00","-88.60%","N/A","-2.78M","-2.57M","-0.0130","N/A","3.07M","0.01","N/A","N/A","4.71","0.12","-3.46M","-5.51M","AGR.AX"
"14","21.99M","15.03M","N/A","N/A","N/A","-318.68","2.11","-217.82","-3.34","N/A","0.00%","16.75%","0.5600","0.2100","0.3479","0.3960","41.51k","2.5k","68.72M","35.14M","51.83%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","08 Feb 2019","N/A","N/A","0.00%","6,600.00%","-20.13%","-89.48%","-69k","-0.00","-75.40%","N/A","-4.5M","-12.1M","-0.2330","N/A","6.96M","0.1","N/A","N/A","7.03","0.15","-2.94M","4.28M","A1M.AX"
"15","22.09M","11.88M","N/A","N/A","N/A","129,194.42","3.02","69,480.36","N/A","N/A","-3.85%","16.75%","0.6250","0.3000","0.3864","0.3880","795.88k","86.62k","60.53M","27.93M","48.04%","25.41%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","-655,619.34%","N/A","N/A","171","0.00","-39.50%","202","N/A","-1.2M","-0.0320","N/A","1.85M","0.05","N/A","N/A","3.88","0.12","-440.04k","N/A","AKO.AX"
"16","10.05M","2.41M","∞","N/A","N/A","15.64","0.42","3.76","-81.89","1.10","-6.25%","16.75%","0.0290","0.0110","0.0173","0.0165","568.95k","838.73k","670.16M","257.43M","58.26%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","42.62%","-6.07%","-0.10%","-0.07%","642.85k","0.00","131.60%","642.85k","-29.48k","273.99k","0.0000","N/A","7.68M","0.01","684.41k","2.99","27.12","0.04","-2.12M","-5.36M","AUQ.AX"
"17","12.77M","11.9M","N/A","N/A","N/A","N/A","1.58","N/A","-30.72","-0.00","81.82%","16.75%","0.0340","0.0090","0.0179","0.0186","959.23k","515.26k","672.24M","283.83M","59.21%","1.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-4.08%","-6.59%","N/A","N/A","N/A","N/A","-387.38k","-390.9k","-0.0010","N/A","873.4k","0","N/A","N/A","4.07","0.01","-399.09k","-758.35k","ALY.AX"
"18","29.79M","23.88M","N/A","N/A","N/A","157,640.73","2.22","126,343.48","-14.89","1.21","469.44%","16.75%","0.2100","0.0130","0.1121","0.1199","421.71k","224.08k","297.94M","158.57M","43.41%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-894,130.66%","-9.31%","-15.78%","189","0.00","-87.80%","-227.43k","-1.6M","-1.7M","-0.0090","N/A","2.3M","0.01","N/A","N/A","6.77","0.05","-1.38M","-1.61M","AL8.AX"
"19","21.8M","15.72M","N/A","N/A","N/A","N/A","2.43","N/A","-21.61","0.90","26.67%","16.75%","0.3450","0.0650","0.2182","0.1429","747.92k","1.07M","80.76M","44.19M","43.96%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-17.06%","-34.58%","N/A","N/A","N/A","N/A","-727.49k","-1.86M","-0.0400","N/A","2.2M","0.03","N/A","N/A","5.54","0.11","-1.07M","-621.39k","ARN.AX"
"20","38.38M","36.85M","N/A","N/A","N/A","6.31","6.67","6.06","-15.58","1.90","1.69%","16.75%","0.1000","0.0280","0.0593","0.0642","2.95M","1.29M","639.6M","460.85M","17.28%","19.64%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","03 Feb 2010","-100.77%","-44.62%","-15.97%","-210.84%","6.08M","0.01","-17.30%","2.31M","-2.37M","-6.13M","-0.0130","N/A","4.74M","0.01","3.53M","64.98","6.41","0.01","-3.18M","-3.67M","AJX.AX"
"21","37.6M","29.86M","N/A","N/A","N/A","133.04","7.19","105.65","-20.83","1.70","48.81%","16.75%","0.2200","0.0290","0.1129","0.1400","617.33k","440.63k","326.92M","164.29M","37.81%","1.09%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-537.05%","-33.38%","-61.77%","282.59k","0.00","-38.90%","282.59k","-1.43M","-1.63M","-0.0080","N/A","2.43M","0.01","N/A","N/A","11.08","0.02","-1.2M","-1.24M","AQI.AX"
"22","30.74M","32.96M","N/A","N/A","N/A","347.70","2.06","372.73","-23.63","1.85","-5.71%","16.75%","0.0540","0.0100","0.0315","0.0344","2.11M","2.2M","1.09B","731.27M","33.26%","0.61%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","18 Sep 2015","0.00%","-1,588.87%","-7.06%","-13.10%","88.42k","0.00","6,857.70%","88.42k","-1.39M","-1.57M","-0.0020","N/A","2.95M","0","48.79k","0.33","7.06","0.02","-1.29M","-3.26M","AQX.AX"
"23","464.4M","422.56M","33.91","N/A","N/A","6.40","1.69","5.82","14.47","0.37","-16.76%","16.75%","1.5400","0.4650","0.8531","1.1001","2.1M","1.26M","595.39M","374.73M","38.31%","10.56%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","21 Nov 2007","17.59%","27.06%","4.26%","5.55%","72.55M","0.13","N/A","30.61M","29.2M","13.35M","0.0230","N/A","48.34M","0.08","6.61M","2.47","4.87","0.46","28.54M","-160.83M","ALK.AX"
"24","67.57M","57.97M","N/A","N/A","N/A","7,147.10","4.40","6,132.17","N/A","0.79","-23.20%","16.75%","0.1300","0.0480","0.0800","0.0681","1.74M","3.16M","861.67M","201.69M","36.80%","7.54%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","10 Nov 2016","0.00%","-17,253.78%","N/A","N/A","9.45k","0.00","-70.30%","-4.19M","N/A","-1.44M","-0.0030","N/A","442.06k","0","4.54M","27.62","1.92","0.03","-1.86M","N/A","AHQ.AX"
"25","49.92M","41.36M","N/A","N/A","N/A","2,627.58","2.86","2,176.63","-29.95","0.49","100.00%","16.75%","0.2629","0.0845","0.1841","0.2031","55.79k","271.81k","208.02M","54.65M","73.25%","9.10%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","22 Nov 2016","1:4","01 Dec 2016","0.00%","-9,473.68%","-7.44%","-11.95%","19k","0.00","-68.30%","19k","-1.38M","-1.75M","-0.0110","N/A","1.56M","0.01","125k","0.84","3.76","0.08","-1.03M","-3.49M","AGS.AX"
"26","315.03M","301.04M","N/A","N/A","N/A","1,014.59","28.44","969.54","-31.55","0.92","108.70%","16.75%","0.4800","0.0860","0.3652","0.3017","1.02M","1.19M","692.38M","382.26M","39.27%","10.10%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-3,073.16%","-75.66%","-130.66%","310.5k","0.00","-66.20%","-4.8M","-9.54M","-9.35M","-0.0150","N/A","7.98M","0.01","N/A","N/A","14.06","0.02","-399.31k","-7.67M","A4N.AX"
"27","21.66M","19.51M","N/A","N/A","N/A","N/A","N/A","N/A","-5.11","2.23","-25.00%","16.75%","0.0080","0.0020","0.0060","0.0058","7.34M","18.16M","3.61B","2.48B","36.05%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-75.70%","-302.61%","N/A","N/A","N/A","N/A","-3.82M","-3.76M","-0.0020","N/A","2.26M","0","102.45k","49.54","0.84","0.00","-3.52M","31.3k","AZI.AX"
"28","75.9M","51.28M","N/A","N/A","N/A","82.95","0.75","56.04","-26.00","0.24","-27.38%","16.75%","0.0840","0.0230","0.0500","0.0464","7.53M","9.84M","1.29B","581.84M","33.03%","13.30%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","30 Mar 2010","0.00%","-218.04%","-1.71%","-5.33%","915.09k","0.00","N/A","915.09k","-1.97M","-3.52M","-0.0040","N/A","833.05k","0","N/A","N/A","0.14","0.08","-2.54M","-7.45M","ATC.AX"
"29","33.16M","23.61M","N/A","N/A","N/A","574.76","2.14","409.28","-18.22","-0.56","126.47%","16.75%","0.1500","0.0320","0.0917","0.0956","821.48k","472.03k","419.72M","52.23M","64.75%","5.31%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,274.78%","-6.89%","-12.54%","57.69k","0.00","605.80%","N/A","-1.3M","-1.39M","-0.0050","N/A","126.83k","0","250k","2.30","0.26","0.04","-1M","-1.49M","AME.AX"
"30","209.04M","363.4M","N/A","N/A","N/A","2.20","1.75","3.83","30.84","1.90","11.11%","16.75%","0.0740","0.0270","0.0700","0.0699","N/A","N/A","2.99B","1.2B","49.83%","5.87%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","25 Nov 2002","1:1","23 Oct 2009","-49.88%","1.46%","0.26%","-50.20%","94.83M","0.04","12,317.60%","7.44M","11.78M","-44.9M","-0.0220","N/A","2.48M","0","192.19M","192.66","0.22","0.04","-32.3M","-96.48M","AJM.AX"
"31","5.03B","5.07B","54.22","N/A","N/A","12,586.04","3.13","12,680.17","N/A","1.01","-21.66%","16.75%","2.2400","1.2950","1.7719","1.6348","12.16M","7.72M","2.9B","2.33B","19.02%","42.00%","N/A","N/A","N/A","N/A","N/A","0.09","5.39%","0.06","3.76%","7.28","258.79%","N/A","31 Aug 2020","1:1","04 May 2009","23,400.00%","-3,150.00%","-0.42%","5.29%","400k","0.00","-95.50%","2.5M","N/A","93.6M","0.0320","-57.10%","32.6M","0.01","110M","6.89","34.20","0.56","235.1M","-9.57M","AWC.AX"
"32","9.39M","-236.19k","N/A","N/A","N/A","11.44","0.20","-0.29","0.06","-0.68","0.00%","16.75%","0.0030","0.0010","0.0013","0.0015","13.17M","19.63M","9.39B","5.33B","33.91%","0.58%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-495.29%","-11.49%","-20.52%","820.45k","0.00","20,511,600.00%","-150.54k","-3.99M","-3.8M","-0.0010","N/A","1.13M","0","3.09M","15.15","0.58","0.00","-1.33M","-8.87M","ANL.AX"
"33","23.14B","29.11B","29.80","N/A","N/A","1.85","4.77","2.33","14.98","0.44","-4.63%","16.75%","16.50","9.87","14.73","15.25","2.45M","2.46M","1.56B","1.55B","0.00%","25.45%","N/A","N/A","N/A","N/A","N/A","0.61","4.14%","0.47","3.18%","4.19","95.40%","N/A","23 Feb 2021","1:1","20 Aug 2009","6.23%","10.89%","5.06%","15.26%","12.48B","7.95","2.00%","2.54B","1.94B","776.5M","0.49","17.70%","762M","0.49","6.94B","143.09","1.28","3.08","1.48B","1.33B","AMC.AX"
"34","746.45M","595.9M","N/A","N/A","N/A","3,791.95","8.73","3,027.18","-137.23","2.18","376.74%","16.75%","2.0900","0.1450","1.6656","1.0822","871.99k","1.18M","375.1M","174.3M","46.61%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,220.22%","-5.33%","-10.56%","196.85k","0.00","54.20%","196.85k","-4.34M","-5.19M","-0.0230","N/A","38.74M","0.12","N/A","N/A","10.19","0.23","-2.15M","-2.81M","ABR.AX"
"35","32.49M","27.19M","19.60","N/A","N/A","580.49","4.45","485.67","-22.72","-0.51","N/A","16.75%","0.1050","0.0980","N/A","N/A","N/A","N/A","331.57M","178.27M","41.98%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","1,649.41%","-3,167.66%","-21.86%","19.37%","55.98k","0.00","59.30%","55.98k","-1.2M","923.29k","0.0050","N/A","1.43M","0","110.05k","1.75","4.17","0.02","-964.9k","-973.03k","ARR.AX"
"36","17.65M","7.53M","7.00","N/A","N/A","483.96","2.33","206.53","-4.91","3.89","N/A","16.75%","0.0690","0.0620","N/A","N/A","N/A","N/A","280.21M","120.98M","48.57%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","5,394.18%","-4,232.79%","-22.44%","47.80%","36.48k","0.00","N/A","36.48k","-1.53M","1.97M","0.0090","N/A","5.75M","0.03","N/A","N/A","27.88","0.03","-1.44M","-874.19k","ANX.AX"
"37","656.58M","464M","N/A","N/A","N/A","6,665.81","43.57","4,710.62","-127.96","-0.17","620.93%","16.75%","0.3650","0.0190","0.2894","0.1863","6.38M","5.19M","2.15B","1.22B","16.88%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","29 May 2018","1:10","19 Jun 2008","0.00%","-4,095.66%","-23.95%","-38.64%","98.5k","0.00","N/A","98.5k","-3.63M","-3.45M","-0.0020","N/A","3M","0","113.88k","1.04","4.35","0.01","-1.08M","-2.53M","ADN.AX"
"38","4.81B","240.31M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.80","0.00%","16.75%","1.0100","0.9000","1.0000","0.9984","N/A","N/A","1.3M","84.08M","38.82%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","0.12%","N/A","N/A","N/A","23.24%","N/A","24 Jun 2020","5:1","05 Jul 2007","1.48%","0.00%","2.36%","2.00%","N/A","N/A","-13.00%","4.45T","N/A","N/A","N/A","251.70%","N/A","N/A","N/A","46.58","1.94","N/A","N/A","N/A","ATM.AX"
"39","70.68M","52.85M","N/A","N/A","N/A","N/A","4.80","N/A","-24.00","0.82","13.04%","16.75%","0.2300","0.0770","0.1348","0.1574","478.26k","336.11k","589.01M","266.54M","41.97%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","03 Dec 2013","0.00%","0.00%","-17.86%","-31.45%","N/A","N/A","N/A","N/A","-2.2M","-2.71M","-0.0070","N/A","3.4M","0.01","104.07k","0.91","7.04","0.03","-1.27M","-3.62M","AAR.AX"
"40","12.58B","4.15B","8.64","N/A","N/A","3.22","0.84","1.06","2.69","0.23","2.35%","16.75%","14.00","4.80","6.08","7.00","23.34k","17.04k","2.08B","412.94M","0.00%","0.00%","N/A","N/A","N/A","N/A","N/A","0.03","0.52%","0.11","1.81%","N/A","6.54%","N/A","12 Mar 2020","2:1","27 Dec 2002","7.55%","24.94%","8.24%","21.52%","3.91B","9.32","26.40%","903M","1.54B","617M","0.70","287.70%","1.29B","3.1","2.88B","94.65","2.65","7.23","1.31B","67M","AGG.AX"
"41","34.39M","33.82M","6.00","N/A","N/A","N/A","1.50","N/A","4.01","1.25","118.18%","16.75%","0.0420","0.0040","0.0260","0.0292","835.79k","581.7k","1.43B","544.22M","63.07%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","7.58%","16.88%","N/A","N/A","N/A","N/A","8.44M","2.77M","0.0040","N/A","3.4M","0","2.83M","14.25","0.81","0.02","-1.87M","-2.89M","AWV.AX"
"42","80.45M","70.66M","N/A","N/A","N/A","1,559.90","30.00","1,370.10","-20.44","1.93","210.00%","16.75%","0.1500","0.0140","0.0734","0.0386","16.14M","10.77M","893.86M","436.23M","29.59%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-6,819.18%","-51.72%","-170.34%","51.57k","0.00","384.00%","-327.38k","-3.46M","-3.6M","-0.0060","N/A","568.25k","0","716.7k","42.51","0.31","0.00","-2.92M","-2.77M","ASN.AX"
"43","17.95M","11.81M","3.83","N/A","N/A","0.63","2.14","0.41","1.10","2.16","N/A","16.75%","0.0920","0.0800","N/A","N/A","N/A","N/A","195.14M","55M","81.91%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","16.86%","26.97%","29.24%","76.15%","28.6M","0.14","-72.70%","18.46M","10.75M","4.82M","0.0240","-20.00%","6.17M","0.03","25.07k","0.30","2.21","0.04","759.98k","2.37M","AAU.AX"
"44","92.35M","84.83M","N/A","N/A","N/A","148.17","2.64","136.10","-47.47","0.14","245.45%","16.75%","0.0620","0.0110","0.0437","0.0464","3.69M","6.18M","2.5B","1.68B","31.93%","0.10%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","-298.62%","-298.62%","-3.40%","-5.91%","623.31k","0.00","77.50%","623.31k","-1.79M","-1.86M","-0.0010","N/A","7.04M","0","590.52k","1.81","3.06","0.01","-960.74k","-3.8M","AZY.AX"
"45","102.46M","80.53M","18.68","N/A","N/A","833.32","3.09","654.96","N/A","0.63","47.92%","16.75%","0.4300","0.1350","0.3208","0.3268","187.19k","326.31k","288.62M","142.24M","52.36%","6.60%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:30","29 Dec 2011","3,593.61%","-470.45%","-1.47%","-3.24%","122.95k","0.00","N/A","N/A","N/A","-770.53k","0.0190","N/A","15.08M","0.06","82.29k","0.27","26.05","0.12","-865.61k","-10.48M","AOP.AX"
"46","17.15M","14.52M","N/A","N/A","N/A","536.07","5.67","453.84","-6.36","1.05","100.00%","16.75%","0.0620","0.0110","0.0509","0.0388","326.75k","709.22k","336.27M","188.08M","46.50%","0.01%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:4","17 Jun 2016","0.00%","-8,975.97%","-64.61%","-95.35%","31.99k","0.00","-92.40%","31.99k","-2.28M","-1.6M","-0.0060","N/A","2.6M","0.01","N/A","N/A","8.45","0.01","-2.24M","-1.9M","AON.AX"
"47","304.16M","281.28M","N/A","N/A","N/A","472.75","2.36","437.19","-55.92","1.05","261.11%","16.75%","0.3000","0.0460","0.2077","0.1196","5.27M","4.13M","1.17B","962.11M","17.61%","0.26%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","26 Feb 2010","0.00%","-788.56%","-2.67%","-4.13%","643.38k","0.00","N/A","N/A","-5.03M","-4.81M","-0.0050","N/A","22.77M","0.02","421.21k","0.33","8.44","0.11","-4.58M","-9.25M","ARU.AX"
"48","180.51M","171.37M","N/A","N/A","N/A","745.29","7.34","707.55","-68.39","2.15","294.67%","16.75%","0.9800","0.1200","0.6674","0.5425","731.21k","467.5k","225.64M","187.06M","16.60%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","0:1","07 Feb 2008","0.00%","-1,188.18%","-8.24%","-13.26%","242.2k","0.00","92.50%","242.2k","-2.51M","-2.8M","-0.0140","N/A","8.11M","0.04","N/A","N/A","14.85","0.11","-1.5M","-273.38k","AXE.AX"
